ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-99634-9;Handbuch pfingstliche und charismatische Theologie;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-67018-8;Gesundheit als Gabe;Stempin, Lothar;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71096-8;Sallust, Coniuratio Catilinae;Gerth, Susanne /Kuhlmann, Peter;20140904;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56007-6;Tolstoj als theologischer Denker und Kirchenkritiker;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-59361-5;Den christlichen Glauben verstehen;Ogden, Schubert M.;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55074-9;Law and Religion;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-26140-8;Sanskrit-Wörterbuch der buddhistischen Texte aus den Turfan-Funden. Lieferung 26;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54040-5;Unterscheidungen der Religion;Hermann, Adrian;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71100-2;Römische Philosophie: Epikur bei Cicero;Kuhlmann, Peter;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40229-0;Trauernde Jugendliche in der Familie;Witt-Loers, Stephanie;20140424;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-36081-2;Spuren der Begegnung;Fischer-Kattner, Anke;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77684-2;Ökumene lernen;Koerrenz, Marita;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99662-2;Amor altert nicht;Drimalla, Elisabeth;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99735-3;Rituale und Spiritualität in der Psychotherapie;Brentrup, Martin /Kupitz, Gaby;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70170-7;Einander helfen;Zimpel, André Frank;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40236-9;Trauer in Träumen;Müller, Willy Peter;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-71003-7;Fidus;Erkelenz, Dirk /Hartmanns, Marcus;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40457-7;Schreiben als Selbstcoaching;Heimes, Silke;20140312;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-54043-5;The Meaning of the Letter of Aristeas;Matusova, Ekaterina;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-49137-0;Systemische Therapie in Aktion;Bleckwedel, Jan;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99575-5;Die Grünen und die Pädosexualität;-;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-45241-8;Handeln: Sind wir Menschen rational?;Jens Kertscher  /Werbik, Hans;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56018-1;Societies in Transition;-;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-56019-8;Karl Barth und Wilhelm Niesel;-;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30082-4;Gustav Stresemann;Pohl, Karl Heinrich;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-71003-6;Fidus;Erkelenz, Dirk /Hartmanns, Marcus;20140618;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-60451-9;Mit Gott im Grünen;Grevel, Jan Peter;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-35081-3;Hinter vorgehaltener Hand;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40252-9;Kultur – Entwicklung – Beratung;Borke, Jörn /Kärtner, Joscha ;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56017-4;Existenzangst und Mut zum Sein;-;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-53614-9;Continuity and Discontinuity;-;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-57041-9;Evangelische Mystik;Zimmerling, Peter;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-52105-2;Die Bekenntnisschriften der Evangelisch-Lutherischen Kirche;-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-63056-4;Dienst am Wort Sonderausgabe Jugendliche und Konfirmation;Koranyi, Max /Persch, Gabriele;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-52202-8;Geschichte des Urchristentums;Koch, Dietrich-Alex;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-57039-6;Ausgewählte Werke;Söderblom, Nathan;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-31717-4;Natur und Industrie im Sozialismus;Huff, Tobias;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99645-5;Guter Unterricht: Was wir wirklich darüber wissen;Gold, Andreas;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-45189-3;Die Evolution des James Bond;-;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40241-2;Spielraum und Rahmen;Lang-Langer, Ellen;20140312;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-99514-4;Feinfühlig arbeiten mit Kindern;Staats, Hermann;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-20868-8;Authority and Performance;Amirav, Hagit;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-72001-1;Basiswortschatz Platon;Holtermann, Martin;20141119;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-71090-6;VIVA 3 Diagnose und individuelle Förderung;Scholz, Barbara;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56416-6;Anwesenheit und Anerkennung;Ohly, Lukas;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-35120-8;In Haft bei der Staatssicherheit;Spohr, Julia;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40221-4;Das Mentalisierungskonzept in der Sozialen Arbeit;-;20140514;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-54209-6;Juden und Christen unter römischer Herrschaft;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-25444-8;Verzeichnisse und Indices;Jöhrens, Gerhard /Jöhrens, Eveline;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-46056-6;Briefe 1896–1937;Adler, Alfred;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49134-8;Herausforderung Alltag;Baierl, Martin;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99733-9;Die Lust am Tabubruch;Kraft, Hartmut;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99706-3;Karl Barth und Friedrich Schleiermacher;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40454-6;Tiefenpsychologie trifft Systemtherapie;Graf, Gabriele /Rieforth, Joseph;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99549-6;Systemisches Handwerk;Fryszer, Andreas /Schwing, Rainer;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40255-0;Trauernde hören, wertschätzen, verstehen;Mucksch, Norbert;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-31706-9;Die Natur der Gefahr;Lübken, Uwe;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71095-1;VIVA Lernwortschatz;Bartoszek, Verena /Datené, Verena;20140804;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36082-8;Die Wahlkapitulationen der römisch-deutschen Könige und Kaiser 1519–1792;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54389-4;Anfänge der ägyptischen Kunst;Morenz, Ludwig D.;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-52105-3;Die Bekenntnisschriften der Evangelisch-Lutherischen Kirche;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10105-6;'In unserer Liebe nicht glücklich';-;20140514;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-63060-0;Im Dialog mit den Naturwissenschaften;Preßler, Hermann;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99675-2;Störungsspezifische Psychodramatherapie;Krüger, Reinhard T.;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-61423-5;Ethische Schlüsselprobleme;-;20150422;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-56445-6;Um der Sache willen;Bergner, Gerhard;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49156-0;Beruflich in Bolivien;Georg, Mariela I. /Kölbl, Carlos;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30038-1;Die Marokko-Deutschen 1873–1918;Mai, Gunther;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40232-1;Erwärmen in der Trauer;Schnegg, Matthias;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30077-0;Die SED-Deutschlandpolitik 1961 bis 1989;Amos, Heike;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-61507-3;konfi live;-;20140327;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99502-1;Schuld und Schuldgefühl;Hirsch, Mathias;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99647-9;Schule ohne Lehrer?;Ulbricht, Arne;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56416-5;Anwesenheit und Anerkennung;Ohly, Lukas;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40369-4;Grenzbereiche der Supervision – Verwaltung in Bewegung ;-;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99611-0;Tiefenpsychologie trifft Systemtherapie;Graf, Gabriele /Rieforth, Joseph;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40455-3;Die Beschneidung von Jungen;-;20140312;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-51341-5;Das Evangelium nach Matthäus;Konradt, Matthias;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-25305-3;Pseudo-Plutarch und Stobaios: Eine synoptische Untersuchung;Bottler, Heike;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-65263-3;Kirchlicher Taschenkalender;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40258-0;Leid kreativ wandeln;Rechenberg-Winter, Petra;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-48009-0;Choreographie des Klangs – Zwischen Abstraktion und Erzählung | Choreography of Sound – Between Abstraction and Narration;-;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99701-8;Der Klemensroman;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-46270-7;Transsexualität – Transidentität;Rauchfleisch, Udo;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45243-1;Angstbeißer, Trauerkloß, Zappelphilipp?;-;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40198-0;Traumatischer Stress in der Familie;Korittko, Alexander /Pleyer, Karl Heinz;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-37306-4;Zivilgesellschaft und Menschenrechte im östlichen Mitteleuropa;-;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10141-4;European Missions in Contact Zones;-;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36967-8;Auslese für die Siedlergesellschaft;Fiebrandt, Maria;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99676-9;Wachsame Sorge;Omer, Haim;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36969-3;Vergleich als Herausforderung;-;20150316;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99665-3;Die Welt erkunden;Stölzel, Thomas;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10137-7;Conversio im Wandel;Becker, Judith;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55089-2;Heinrich Bullinger on Prophecy and the Prophetic Office (1523-1538);Timmerman, Daniël;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-70211-7;Anforderungssituationen im kompetenzorientierten Religionsunterricht;Bürig-Heinze, Susanne /Rösener, Christiane;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-23013-9;Urteil und Erfahrung;Enskat, Rainer;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54045-0;BACCHIUS IUDAEUS;Scott, James M.;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-10134-6;Jüdische Erfahrungen und Loyalitätskonflikte im Ersten Weltkrieg;Panter, Sarah;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-61618-6;Männerbeziehungen;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-71093-7;VIVA Gesamtband;Bartoszek, Verena /Datené, Verena;20140804;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70213-0;Praxisbuch Bibel erleben;Steinkühler, Martina;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-49100-4;Feindbilder – Psychologie der Dämonisierung;Alon, Nahi /Omer, Haim;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40191-1;System und Körper;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99553-3;Gott und Götter in den Weltreligionen;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40256-6;Die große Metaphern-Schatzkiste;Lindemann, Holger;20150311;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-35092-8;Luftmenschen;Berg, Nicolas;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-33603-9;'… und wir gehören auch dazu';Maurer, Trude;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55062-5;"See, I will bring a scroll recounting what befell me" (Ps 40:8);-;20140716;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
978-3-647-54041-2;Philo von Alexandrien;Kaiser, Otto;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-77682-8;Bibel – etwas für mich?;Märkt, Claudia /Schnabel-Henke, Hanne;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-49077-9;Autorität durch Beziehung;Omer, Haim /Schlippe, Arist von;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40249-8;Elemente der Themenzentrierten Interaktion (TZI);-;20150617;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-77015-4;Rock 'n' Religion;Günther, Matthias;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40254-3;Amor altert nicht;Drimalla, Elisabeth;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30054-2;Towards Mutual Security;-;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55090-8;The Light of Grace: John Owen on the Authority of Scripture and Christian Faith;Leslie, Andrew;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55078-6;Acta of the Synod of Dordt;-;20141028;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-53613-2;Götterwort in Menschenmund;Weippert, Manfred;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-53616-3;Trauma and Traumatization in Individual and Collective Dimensions;-;20141001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70209-3;Interreligiöses Lernen narrativ;Zimmermann, Mirjam;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55088-5;Calvin and the Book;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40366-3;Gender und Beratung;-;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30047-4;Kartierte Kolonialgeschichte;Renz, Mathias;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36997-6;Leipziger Juden und die DDR;Niether, Hendrik;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70209-4;Interreligiöses Lernen narrativ;Zimmermann, Mirjam;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-46199-0;Hysterie;Mentzos, Stavros;20120118;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-31510-1;Wie man ein Kind lieben soll;Korczak, Janusz;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36214-3;Lehrergenerationen im Bildungswachstum;Nath, Axel /Titze, Hartmut;20150000;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70212-3;Ethische und interreligiöse Kompetenzen in der Pflege;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55843-1;Der vergessene Spiritualist Johann Theodor von Tschesch (1595–1649);Karnitscher, Tünde Beatrix;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-64200-9;Evangelisches Gesangbuch Taschenausgabe - neue Rechtschreibung;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40246-8;Handbuch psychoanalytisch-interaktionelle Therapie;Leichsenring, Falk /Streeck, Ulrich;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99659-2;Buddha und Freud – Präsenz und Einsicht;Weischede, Gerald /Zwiebel, Ralf;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54388-7;Transformation of a Goddess: Ishtar – Astarte – Aphrodite;-;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70176-9;Notfallmanagement;Heidrich, Vinzenz /Lenkeit, Bernd;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40463-8;wir2;Franz, Matthias;20140514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55082-4;Preparing for Death, Remembering the Dead;-;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-36722-3;Scham - zur sozialen Bedeutung eines Gefühls im spätmittelalterlichen England;Behrens, Katharina;20140402;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-36998-2;Mojzesz Schorr und Majer Balaban ;Gotzen-Dold, Maria;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70170-6;Einander helfen;Zimpel, André Frank;20140424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54023-7;Religion in der verrechtlichten Gesellschaft;Reuter, Astrid;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77684-1;Ökumene lernen;Koerrenz, Marita;20141119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99732-2;Kreatives und therapeutisches Schreiben;Heimes, Silke;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99651-6;Lernfeld: Persönlichkeit;Soth, Johannes;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-63055-6;Predigen mit moderner Literatur;Siebold, Christian /Siebold, Maike;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54039-8;Zwischen Landnahme und Königtum;Focken, Friedrich-Emanuel;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70173-7;Inklusion und Partizipation - Vielfalt als Chance und Anspruch;-;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-63058-7;Dienst am Wort Sonderausgabe Advents- und Weihnachtszeit;Freudenberg, Hans /Goldschmidt, Stephan;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40203-1;Stärke statt Macht;Omer, Haim /Schlippe, Arist von;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54028-3;Vying for Truth - Theology and the Natural Sciences;Schwarz, Hans;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55093-0;Performances of Ancient Jewish Letters;Miller, Marvin;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56021-2;Heilung und Lebensheil im Angesicht des Todes;-;20150715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-77681-0;Religion mit Kindern 2;Steinkühler, Martina;20140219;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55058-8;Anthropological Reformations - Anthropology in the Era of Reformation;-;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-80609-8;Zwischen Sensation und Sensibilität - Leid und Trauer in der Öffentlichkeit;-;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55774-8;Praktizierte Staatskirchenhoheit im Nationalsozialismus;Marahrens, Hauke;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-45021-6;Seelische Wirklichkeiten in virtuellen Welten;-;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-57042-5;Paket: Nathan Söderblom;Söderblom, Nathan;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56418-9;Sprachloses Wort?;Ringleben, Joachim;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-57034-0;Aschkenas in Jerusalem;Kraft, Christian;20140219;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-40244-4;Die Konfliktachse der OPD-KJ-2;Adler-Corman, Petra /Dietrich, Heiko;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-45132-9;Dramen der Verlorenheit: Mutter-Tochter-Beziehungen in der Shoah;Bodenstab, Johanna;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70172-0;Guter Unterricht: Was wir wirklich darüber wissen;Gold, Andreas;20150128;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55775-4;Der Prager Frühling und die evangelischen Kirchen in der DDR;Ruthendorf-Przewoski, Cornelia von;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99721-6;Den Tod durchdringt das Leben;Schwemmer, Siegfried Johannes;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53974-3;1. Petrus;Merkt, Andreas;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40192-8;Ehrenamtliche Sterbebegleitung;Heinemann, Wolfgang /Müller, Monika;20150819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40341-0;Wie viel Tod verträgt das Team?;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99690-5;Notfallmanagement;Heidrich, Vinzenz /Lenkeit, Bernd;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56016-7;Der Majoristische Streit (1552-1570);-;20141210;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-30041-2;Überwachtes Deutschland;-;20140219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55069-5;At the Intersection of Texts and Material Finds;Miller, Stuart S.;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-71001-3;Lernzirkel zum ablativus absolutus;Drumm, Julia;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40465-2;Diagnose: Besonderheit;-;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-90030-8;Sallust, Coniuratio Catilinae — Lehrerband;Salow, Katrin;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80008-0;Wissenschaftliche Schulen;-;20140926;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40223-9;Arbeitsbuch Kreatives und biografisches Schreiben;Haußmann, Renate /Rechenberg-Winter, Petra;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
